date,SP500,VIX,TNX,SP500_return,VIX_return,TNX_return,sentiment_mean,sentiment_std,headline_count,pos_prob_mean,neg_prob_mean,neu_prob_mean,pct_positive,pct_negative
2015-01-05,2020.5799560546875,2.0390000343322754,19.920000076293945,-1.8278105145113743,-3.9566592513207044,11.973013216134865,0.0,0.0,2.0,0.12208025,0.04069915,0.83722067,0.0,0.0
2015-01-06,2002.6099853515625,1.9630000591278076,21.1200008392334,-0.8893471722946522,-3.72731603358486,6.024100192487092,0.25,0.5,4.0,0.24433473,0.1163362,0.6393291,25.0,0.0
2015-01-07,2025.9000244140625,1.9539999961853027,19.309999465942383,1.162984267174294,-0.45848510806992815,-8.570081919356188,0.6666666666666666,0.5773502691896258,3.0,0.6262505,0.04512599,0.32862356,66.66666666666666,0.0
2015-01-08,2062.139892578125,2.0160000324249268,17.010000228881836,1.7888280629516196,3.1729803664618084,-11.910923359252923,0.0,1.1547005383792515,4.0,0.37574714,0.49136645,0.13288644,50.0,50.0
2015-01-09,2044.81005859375,1.9709999561309814,17.549999237060547,-0.8403811034715436,-2.2321466056633654,3.1745973010736783,-0.3333333333333333,0.5773502691896258,3.0,0.09002125,0.171247,0.73873186,0.0,33.33333333333333
2015-01-12,2028.260009765625,1.9119999408721924,19.600000381469727,-0.8093685160912578,-2.9934052040571535,11.680918709558497,0.0,0.0,1.0,0.09829023,0.11464596,0.78706384,0.0,0.0
2015-01-13,2023.030029296875,1.8899999856948853,20.559999465942383,-0.25785552362955766,-1.150625306362274,4.897954417287975,-0.2222222222222222,0.4409585518440985,9.0,0.070201725,0.30744138,0.6223569,0.0,22.22222222222222
2015-01-14,2011.27001953125,1.8370000123977661,21.479999542236328,-0.5813067327385291,-2.8042314126067502,4.474708658518822,-0.4,0.5477225575051662,5.0,0.053970255,0.28614002,0.6598898,0.0,40.0
2015-01-15,1992.6700439453125,1.774999976158142,22.389999389648438,-0.9247875921837956,-3.3750699957098895,4.236498448814063,0.0,0.0,6.0,0.051422775,0.03732079,0.9112564,0.0,0.0
2015-01-16,2019.4200439453125,1.815000057220459,20.950000762939453,1.3424199395820402,2.2535257239210793,-6.431436650126654,-0.3333333333333333,0.5773502691896258,3.0,0.078142166,0.30779645,0.61406136,0.0,33.33333333333333
2015-01-20,2022.550048828125,1.8070000410079956,19.889999389648438,0.15499523698385698,-0.4407722292149585,-5.059672241951219,0.0,0.0,5.0,0.05815055,0.03647365,0.9053758,0.0,0.0
2015-01-21,2032.1199951171875,1.8530000448226929,18.850000381469727,0.4731623968765364,2.545655936401481,-5.228753343853643,0.5,0.7071067811865476,2.0,0.29502845,0.14507312,0.55989844,50.0,0.0
2015-01-22,2063.14990234375,1.8960000276565552,16.399999618530273,1.5269721916580492,2.320560269494054,-12.997351264501289,0.0,0.0,2.0,0.11732261,0.025285175,0.8573922,0.0,0.0
2015-01-23,2051.820068359375,1.8170000314712524,16.65999984741211,-0.5491522439307173,-4.1666664046912665,1.5853672861556811,1.0,0.0,1.0,0.80682313,0.009375473,0.18380138,100.0,0.0
2015-01-26,2057.090087890625,1.8279999494552612,15.520000457763672,0.2568460857030219,0.6053889814796598,-6.8427334939352935,0.0,0.0,1.0,0.08123688,0.06276604,0.8559971,0.0,0.0
2015-01-27,2029.550048828125,1.8250000476837158,17.219999313354492,-1.338786241041101,-0.1641084165477924,10.953600550574837,0.0,1.4142135623730951,2.0,0.3315642,0.43311262,0.2353232,50.0,50.0
2015-01-28,2002.1600341796875,1.7239999771118164,20.440000534057617,-1.3495609366348305,-5.5342502976966195,18.699194826366462,0.0,0.0,2.0,0.07894474,0.018974338,0.90208095,0.0,0.0
2015-01-29,2021.25,1.7510000467300415,18.760000228881836,0.9534685287099887,1.5661293489955819,-8.21917936047274,0.25,0.5,4.0,0.27523938,0.039295636,0.685465,25.0,0.0
2015-01-30,1994.989990234375,1.6749999523162842,20.969999313354492,-1.2991965252009852,-4.3403822036262145,11.780378771372657,-0.25,0.5,4.0,0.06006992,0.28976622,0.6501639,0.0,25.0
2015-02-02,2020.8499755859375,1.6729999780654907,19.43000030517578,1.296246371066978,-0.11940145120766799,-7.343820021958614,-0.5,0.7071067811865476,2.0,0.084664255,0.46626833,0.44906738,0.0,50.0
2015-02-03,2050.030029296875,1.7799999713897705,17.329999923706055,1.4439495293299576,6.395696038681664,-10.808030614957465,0.3333333333333333,0.5163977794943222,6.0,0.28450203,0.042854384,0.6726436,33.33333333333333,0.0
2015-02-04,2041.510009765625,1.7970000505447388,18.329999923706055,-0.41560462088314765,0.9550606420344554,5.77034047549001,-0.4,0.5477225575051661,5.0,0.08703067,0.31730744,0.5956619,0.0,40.0
2015-02-05,2062.52001953125,1.815000057220459,16.850000381469727,1.0291406686777416,1.0016697924000395,-8.074192844497807,0.0,0.6324555320336759,6.0,0.1665522,0.16478132,0.6686664,16.666666666666664,16.666666666666664
2015-02-06,2055.469970703125,1.937999963760376,17.290000915527344,-0.34181723141418763,6.776854141166377,2.6112790747559567,-0.4,0.5477225575051661,5.0,0.04235684,0.37349063,0.5841525,0.0,40.0
2015-02-09,2046.739990234375,1.9479999542236328,18.549999237060547,-0.42471943609877494,0.5159953895898628,7.2874392991018055,0.0,0.0,2.0,0.2773189,0.027832396,0.6948487,0.0,0.0
2015-02-10,2068.590087890625,1.9910000562667847,17.229999542236328,1.0675561019232394,2.2073974873520585,-7.1159016124756835,-0.3333333333333333,0.5163977794943223,6.0,0.074761815,0.3173438,0.6078944,0.0,33.33333333333333
2015-02-11,2068.530029296875,1.9880000352859497,16.959999084472656,-0.002903358867545336,-0.15067910075603486,-1.5670369410156537,0.3333333333333333,0.5773502691896258,3.0,0.2702801,0.09581704,0.6339029,33.33333333333333,0.0
2015-02-12,2088.47998046875,1.9859999418258667,15.34000015258789,0.9644506431775834,-0.10060832115605933,-9.551881010229057,0.0,0.0,2.0,0.07571405,0.038035855,0.88625,0.0,0.0
2015-02-13,2096.989990234375,2.0209999084472656,14.6899995803833,0.40747384917307894,1.762334725408965,-4.237291823591893,-0.3333333333333333,0.5163977794943223,6.0,0.08569786,0.20078187,0.7135203,0.0,33.33333333333333
2015-02-17,2100.340087890625,2.1449999809265137,15.800000190734863,0.15975744623728527,6.135580311555655,7.556165024223915,0.0,0.0,1.0,0.1378111,0.012832351,0.84935653,0.0,0.0
2015-02-18,2099.679931640625,2.065999984741211,15.449999809265137,-0.03143092177338991,-3.6829835378916598,-2.2151922610416652,0.0,0.0,5.0,0.05471605,0.09045581,0.8548282,0.0,0.0
2015-02-19,2097.449951171875,2.11299991607666,15.289999961853027,-0.10620573331896477,2.274924089185637,-1.0355977306624964,0.0,0.0,5.0,0.16225226,0.03462616,0.80312157,0.0,0.0
2015-02-20,2110.300048828125,2.132999897003174,14.300000190734863,0.6126533626735764,0.9465206682851557,-6.474818663100789,0.0,0.0,2.0,0.09924382,0.03769353,0.8630626,0.0,0.0
2015-02-23,2109.659912109375,2.059000015258789,14.5600004196167,-0.03033391953459752,-3.4692867003112915,1.8181833945029924,0.0,0.0,0.0,0.09924382,0.03769353,0.8630626,0.0,0.0
2015-02-24,2115.47998046875,1.9880000352859497,13.6899995803833,0.2758770892866691,-3.4482748638501426,-5.9752803170338264,0.0,0.0,4.0,0.08002092,0.07895057,0.8410285,0.0,0.0
2015-02-25,2113.860107421875,1.968999981880188,13.84000015258789,-0.07657236475081541,-0.9557370758813244,1.0956944981906913,0.16666666666666666,0.408248290463863,6.0,0.13612452,0.123129725,0.7407458,16.666666666666664,0.0
2015-02-26,2110.739990234375,2.0160000324249268,13.90999984741211,-0.1476028227480719,2.387001065376282,0.5057781362172165,0.0,0.0,2.0,0.18547875,0.01507489,0.79944634,0.0,0.0
2015-02-27,2104.5,2.002000093460083,13.34000015258789,-0.29563045487578377,-0.694441405737678,-4.0977692385112725,0.0,0.0,0.0,0.18547875,0.01507489,0.79944634,0.0,0.0
2015-03-02,2117.389892578125,2.0840001106262207,13.039999961853027,0.6124919257840311,4.095904762142943,-2.2488769662919794,0.0,0.0,1.0,0.06463503,0.044769242,0.8905958,0.0,0.0
